1password	ii 	8.12.30
python3-cairo	ii 	1.27.0-2
python3-click	ii 	8.2.0+0.really.8.1.8-1
python3-cups:amd64	ii 	2.0.4-2+b2
python3-cupshelpers	ii 	1.5.18-4
python3-dbus	ii 	1.4.0-1
python3-dev	ii 	3.13.5-1
python3-distro	ii 	1.9.0-1
python3-feedparser	ii 	6.0.11-2
python3-gi	ii 	3.50.0-4+b1
python3-gi-cairo	ii 	3.50.0-4+b1
python3-ibus-1.0	ii 	1.5.32-2
python3-libvoikko	ii 	4.3.2-1
python3-louis	ii 	3.33.0-1
python3-minimal	ii 	3.13.5-1
python3-musicbrainzngs	ii 	0.7.1-6
python3-mutagen	ii 	1.47.0-1
python3-packaging	ii 	25.0-1
python3-pip	ii 	25.1.1+dfsg-1
python3-pip-whl	ii 	25.1.1+dfsg-1
python3-platformdirs	ii 	4.3.7-1
python3-psutil	ii 	7.0.0-2
python3-pyasyncore	ii 	1.0.2-3
python3-pyinotify	ii 	0.9.6-5
python3-setproctitle:amd64	ii 	1.3.6-2
python3-setuptools-whl	ii 	78.1.1-0.1
python3-sgmllib3k	ii 	1.0.0-5
python3-smbc	ii 	1.0.25.1-1+b4
python3-speechd	ii 	0.12.0-5
python3-uno	ii 	4:25.2.3-2+deb13u6
python3-urllib3	ii 	2.3.0-3+deb13u2
python3-userpath	ii 	1.9.2-1
python3-venv	ii 	3.13.5-1
python3-wheel	ii 	0.46.1-2
python3-xdg	ii 	0.28-2
python3.13	ii 	3.13.5-2+deb13u4
python3.13-dev	ii 	3.13.5-2+deb13u4
python3.13-minimal	ii 	3.13.5-2+deb13u4
python3.13-venv	ii 	3.13.5-2+deb13u4
qt5-gtk-platformtheme:amd64	ii 	5.15.15+dfsg-6+deb13u1
qt6-gtk-platformtheme:amd64	ii 	6.8.2+dfsg-9+deb13u2
qt6-qpa-plugins:amd64	ii 	6.8.2+dfsg-9+deb13u2
qt6-svg-plugins:amd64	ii 	6.8.2-3
qt6-translations-l10n	ii 	6.8.2-2
qt6-wayland:amd64	ii 	6.8.2-4
qttranslations5-l10n	ii 	5.15.15-2
qtwayland5:amd64	ii 	5.15.15-3
quodlibet	ii 	4.6.0-6
read-edid	ii 	3.0.2-1.1
readline-common	ii 	8.2-6
ristretto	ii 	0.13.3-1
rpcsvc-proto	ii 	1.4.3-1
rsync	ii 	3.4.1+ds1-5+deb13u4
rtkit	ii 	0.13-5.1
runit-helper	ii 	2.16.4
samba-libs:amd64	ii 	2:4.22.10+dfsg-0+deb13u2
sane-airscan	ii 	0.99.35-1
sane-utils	ii 	1.3.1-3+b1
screen	ii 	4.9.1-3
sed	ii 	4.9-2+deb13u1
sensible-utils	ii 	0.0.25
sgml-base	ii 	1.31+nmu1
sgml-data	ii 	2.0.11+nmu1
shared-mime-info	ii 	2.4-5+b2
shellcheck	ii 	0.10.0-1
shim-helpers-amd64-signed	ii 	1+16.1+2~deb13u1
shim-signed:amd64	ii 	1.51~1+deb13u1+16.1-2~deb13u1
shim-signed-common	ii 	1.51~1+deb13u1+16.1-2~deb13u1
shim-unsigned:amd64	ii 	16.1-2~deb13u1
smartmontools	ii 	7.4-3
sound-icons	ii 	0.1-8
sound-theme-freedesktop	ii 	0.8-6~deb13u1
speech-dispatcher	ii 	0.12.0-5
speech-dispatcher-audio-plugins:amd64	ii 	0.12.0-5
speech-dispatcher-espeak-ng	ii 	0.12.0-5
sphinx-rtd-theme-common	ii 	3.0.2+dfsg-2
spice-vdagent	ii 	0.22.1-4.1
spotify-client	ii 	1:1.2.92.147.g5b8f9367
sqv	ii 	1.3.0-3+b2
sse3-support	ii 	27
ssl-cert	ii 	1.1.3
steam-devices	ii 	1:1.0.0.83~ds-3
steam-installer	ii 	1:1.0.0.83~ds-3
steam-libs:amd64	ii 	1:1.0.0.83~ds-3
steam-libs:i386	ii 	1:1.0.0.83~ds-3
steam-libs-i386:i386	ii 	1:1.0.0.83~ds-3
strace	ii 	6.13+ds-1
sudo	ii 	1.9.16p2-3+deb13u2
synaptic	ii 	0.91.7
system-config-printer	ii 	1.5.18-4
system-config-printer-common	ii 	1.5.18-4
system-config-printer-udev	ii 	1.5.18-4
systemd	ii 	257.13-1~deb13u1
systemd-sysv	ii 	257.13-1~deb13u1
sysvinit-utils	ii 	3.14-4
t1-cyrillic	ii 	4.18+num2
t1-teams	ii 	4.18+num2
tango-icon-theme	ii 	0.9.0-1
tar	ii 	1.35+dfsg-3.1
task-albanian-desktop	ii 	3.81
task-amharic-desktop	ii 	3.81
task-arabic-desktop	ii 	3.81
task-asturian-desktop	ii 	3.81
task-basque-desktop	ii 	3.81
task-belarusian-desktop	ii 	3.81
task-bengali-desktop	ii 	3.81
task-bosnian-desktop	ii 	3.81
task-brazilian-portuguese-desktop	ii 	3.81
task-british-desktop	ii 	3.81
task-bulgarian-desktop	ii 	3.81
task-catalan-desktop	ii 	3.81
task-chinese-s-desktop	ii 	3.81
task-chinese-t-desktop	ii 	3.81
task-croatian-desktop	ii 	3.81
task-cyrillic-desktop	ii 	3.81
task-czech-desktop	ii 	3.81
task-danish-desktop	ii 	3.81
task-desktop	ii 	3.81
task-dutch-desktop	ii 	3.81
task-dzongkha-desktop	ii 	3.81
task-esperanto-desktop	ii 	3.81
task-estonian-desktop	ii 	3.81
task-finnish-desktop	ii 	3.81
task-french-desktop	ii 	3.81
task-galician-desktop	ii 	3.81
task-georgian-desktop	ii 	3.81
task-german-desktop	ii 	3.81
task-greek-desktop	ii 	3.81
task-gujarati-desktop	ii 	3.81
task-hebrew-desktop	ii 	3.81
task-hindi-desktop	ii 	3.81
task-hungarian-desktop	ii 	3.81
task-icelandic-desktop	ii 	3.81
task-indonesian-desktop	ii 	3.81
task-irish-desktop	ii 	3.81
task-italian-desktop	ii 	3.81
task-japanese-desktop	ii 	3.81
task-kannada-desktop	ii 	3.81
task-kazakh-desktop	ii 	3.81
task-khmer-desktop	ii 	3.81
task-korean-desktop	ii 	3.81
task-kurdish-desktop	ii 	3.81
task-latvian-desktop	ii 	3.81
task-lithuanian-desktop	ii 	3.81
task-macedonian-desktop	ii 	3.81
task-malayalam-desktop	ii 	3.81
task-marathi-desktop	ii 	3.81
task-nepali-desktop	ii 	3.81
task-northern-sami-desktop	ii 	3.81
task-norwegian-desktop	ii 	3.81
task-persian-desktop	ii 	3.81
task-polish-desktop	ii 	3.81
task-portuguese-desktop	ii 	3.81
task-punjabi-desktop	ii 	3.81
task-romanian-desktop	ii 	3.81
task-russian-desktop	ii 	3.81
task-serbian-desktop	ii 	3.81
task-sinhala-desktop	ii 	3.81
task-slovak-desktop	ii 	3.81
task-slovenian-desktop	ii 	3.81
task-south-african-english-desktop	ii 	3.81
task-spanish-desktop	ii 	3.81
task-swedish-desktop	ii 	3.81
task-tamil-desktop	ii 	3.81
task-telugu-desktop	ii 	3.81
task-thai-desktop	ii 	3.81
task-turkish-desktop	ii 	3.81
task-ukrainian-desktop	ii 	3.81
task-uyghur-desktop	ii 	3.81
task-vietnamese-desktop	ii 	3.81
task-welsh-desktop	ii 	3.81
task-xfce-desktop	ii 	3.81
task-xhosa-desktop	ii 	3.81
tasksel	ii 	3.81
tasksel-data	ii 	3.81
tcpdump	ii 	4.99.5-2
thunar	ii 	4.20.2-1+deb13u1
thunar-archive-plugin:amd64	ii 	0.5.3-1
thunar-data	ii 	4.20.2-1+deb13u1
thunar-media-tags-plugin:amd64	ii 	0.4.0-2+b1
thunar-volman	ii 	4.20.0-1
timgm6mb-soundfont	ii 	1.3-5
tmux	ii 	3.5a-3
tpm-udev	ii 	0.6+nmu1
traceroute	ii 	1:2.1.6-1
tree	ii 	2.2.1-1
tumbler	ii 	4.20.0-1
tumbler-common	ii 	4.20.0-1
tzdata	ii 	2026b-0+deb13u1
ucf	ii 	3.0052
udev	ii 	257.13-1~deb13u1
udisks2	ii 	2.10.1-12.1+deb13u1
uim	ii 	1:1.9.6-1
uim-data	ii 	1:1.9.6-1
uim-fep	ii 	1:1.9.6-1
uim-gtk2.0	ii 	1:1.9.6-1
uim-gtk2.0-immodule:amd64	ii 	1:1.9.6-1
uim-gtk3	ii 	1:1.9.6-1
uim-gtk3-immodule:amd64	ii 	1:1.9.6-1
uim-mozc:amd64	ii 	2.29.5160.102+dfsg-1.4
uim-plugins:amd64	ii 	1:1.9.6-1
uim-qt5	ii 	1:1.9.6-1
uim-qt5-immodule:amd64	ii 	1:1.9.6-1
uim-qt6	ii 	1:1.9.6-1
uim-qt6-immodule:amd64	ii 	1:1.9.6-1
uim-xim	ii 	1:1.9.6-1
ukui-polkit	ii 	1.2.2.2-1.1+b1
unixodbc-common	ii 	2.3.12-2
uno-libs-private	ii 	4:25.2.3-2+deb13u6
unzip	ii 	6.0-29
update-inetd	ii 	4.53
upower	ii 	1.90.9-1
ure	ii 	4:25.2.3-2+deb13u6
usb-modeswitch	ii 	2.6.1-4+b2
usb-modeswitch-data	ii 	20191128-7
usb.ids	ii 	2025.07.26-1
usbmuxd	ii 	1.1.1-6+deb13u1
util-linux	ii 	2.41-5
util-linux-locales	ii 	2.41-5
uuid-runtime	ii 	2.41-5
va-driver-all:amd64	ii 	2.22.0-3
va-driver-all:i386	ii 	2.22.0-3
vainfo	ii 	2.22.0+ds1-2
vdpau-driver-all:amd64	ii 	1.5-3+b1
vdpau-driver-all:i386	ii 	1.5-3+b1
vim-common	ii 	2:9.1.1230-2
vim-tiny	ii 	2:9.1.1230-2
vlc	ii 	3.0.23-0+deb13u1
vlc-bin	ii 	3.0.23-0+deb13u1
vlc-data	ii 	3.0.23-0+deb13u1
vlc-l10n	ii 	3.0.23-0+deb13u1
vlc-plugin-access-extra:amd64	ii 	3.0.23-0+deb13u1
vlc-plugin-base:amd64	ii 	3.0.23-0+deb13u1
vlc-plugin-notify:amd64	ii 	3.0.23-0+deb13u1
vlc-plugin-qt:amd64	ii 	3.0.23-0+deb13u1
vlc-plugin-samba:amd64	ii 	3.0.23-0+deb13u1
vlc-plugin-skins2:amd64	ii 	3.0.23-0+deb13u1
vlc-plugin-video-output:amd64	ii 	3.0.23-0+deb13u1
vlc-plugin-video-splitter:amd64	ii 	3.0.23-0+deb13u1
vlc-plugin-visualization:amd64	ii 	3.0.23-0+deb13u1
voikko-fi	ii 	2.5-2
wamerican	ii 	2020.12.07-4
wbrazilian	ii 	3.0~beta4-25
wbulgarian	ii 	4.1-7.1
wcatalan	ii 	0.20111230b-14
wdanish	ii 	1.6.36-17
wdutch	ii 	1:2.20.19+1-3
wfrench	ii 	1.2.9-1
wget	ii 	1.25.0-2
whiptail	ii 	0.52.25-1
whois	ii 	5.6.3
wireless-regdb	ii 	2026.05.30-1~deb13u1
wireless-tools	ii 	30~pre9-18+b1
wireshark	ii 	4.4.16-0+deb13u1
wireshark-common	ii 	4.4.16-0+deb13u1
witalian	ii 	1.10+nmu1
wngerman	ii 	20161207-15
wnorwegian	ii 	2.2-4
wpasupplicant	ii 	2:2.10-24
wpolish	ii 	20240901-1
wportuguese	ii 	20220621-1
wspanish	ii 	1.0.30
wswedish	ii 	1.4.5-5
x11-apps	ii 	7.7+11+b1
x11-common	ii 	1:7.7+24+deb13u1
x11-session-utils	ii 	7.7+6+b1
x11-utils	ii 	7.7+7
x11-xkb-utils	ii 	7.7+9
x11-xserver-utils	ii 	7.7+11
xarchiver	ii 	1:0.5.4.25-2
xauth	ii 	1:1.1.2-1.1
xbitmaps	ii 	1.1.1-2.2
xbrlapi	ii 	6.7-3.1+deb13u3
xcvt	ii 	0.1.3-1
xdg-dbus-proxy	ii 	0.1.6-1+deb13u1
xdg-desktop-portal	ii 	1.20.3+ds-1
xdg-desktop-portal-gtk	ii 	1.15.3-1
xdg-user-dirs	ii 	0.18-2
xdg-utils	ii 	1.2.1-2
xfburn	ii 	0.7.2-1
xfce4	ii 	4.20.1
xfce4-appfinder	ii 	4.20.0-2
xfce4-battery-plugin:amd64	ii 	1.1.5-1+b3
xfce4-clipman	ii 	2:1.6.6-1
xfce4-clipman-plugin	ii 	2:1.6.6-1
xfce4-cpufreq-plugin:amd64	ii 	1.2.8-2+b3
xfce4-cpugraph-plugin:amd64	ii 	1.2.10-1+b2
xfce4-dict	ii 	0.8.8-1
xfce4-diskperf-plugin:amd64	ii 	2.7.0-1+b3
xfce4-fsguard-plugin:amd64	ii 	1.1.3-1+b3
xfce4-genmon-plugin:amd64	ii 	4.1.1-1+b3
xfce4-goodies:amd64	ii 	4.20.0
xfce4-helpers	ii 	4.20.1-1
xfce4-mailwatch-plugin	ii 	1.3.1-1+b2
xfce4-netload-plugin:amd64	ii 	1.4.1-1+b3
xfce4-notes	ii 	1.11.1-1
xfce4-notes-plugin	ii 	1.11.1-1
xfce4-notifyd	ii 	0.9.7-2
xfce4-panel	ii 	4.20.4-1
xfce4-places-plugin:amd64	ii 	1.8.3-1+b3
xfce4-power-manager	ii 	4.20.0-1
xfce4-power-manager-data	ii 	4.20.0-1
xfce4-power-manager-plugins	ii 	4.20.0-1
xfce4-pulseaudio-plugin:amd64	ii 	0.4.9-1
xfce4-screenshooter	ii 	1.11.1-1
xfce4-sensors-plugin	ii 	1.4.4-1+b1
xfce4-session	ii 	4.20.2-2
xfce4-settings	ii 	4.20.1-1
xfce4-smartbookmark-plugin:amd64	ii 	0.5.2-1+b3
xfce4-systemload-plugin:amd64	ii 	1.3.2-2+b3
xfce4-taskmanager	ii 	1.5.8-1
xfce4-terminal	ii 	1.1.4-1
xfce4-timer-plugin:amd64	ii 	1.7.3-1
xfce4-verve-plugin:amd64	ii 	2.0.3-1+b3
xfce4-wavelan-plugin:amd64	ii 	0.6.3-1+b3
xfce4-weather-plugin:amd64	ii 	0.11.3-1
xfce4-whiskermenu-plugin	ii 	2.9.2-1
xfce4-xkb-plugin:amd64	ii 	1:0.8.5-1
xfconf	ii 	4.20.0-1
xfdesktop4	ii 	4.20.1-1
xfdesktop4-data	ii 	4.20.1-1
xfonts-100dpi	ii 	1:1.0.5
xfonts-75dpi	ii 	1:1.0.5
xfonts-base	ii 	1:1.0.5+nmu1
xfonts-encodings	ii 	1:1.0.4-2.2
xfonts-scalable	ii 	1:1.0.3-1.3
xfonts-thai	ii 	1:1.2.7-6
xfonts-thai-etl	ii 	1:1.2.7-6
xfonts-thai-manop	ii 	1:1.2.7-6
xfonts-thai-nectec	ii 	1:1.2.7-6
xfonts-thai-poonlap	ii 	1:1.2.7-6
xfonts-thai-vor	ii 	1:1.2.7-6
xfonts-utils	ii 	1:7.7+7
xfsprogs	ii 	6.13.0-2+b1
xfwm4	ii 	4.20.0-1
xiccd	ii 	0.4.1-1
xinit	ii 	1.4.2-1
xinput	ii 	1.6.4-1
xiterm+thai	ii 	1.10-3
xkb-data	ii 	2.42-1
xkbset	ii 	0.8-1
xml-core	ii 	0.19
xorg	ii 	1:7.7+24+deb13u1
xorg-docs-core	ii 	1:1.7.3-1
xsane	ii 	0.999-12.2
xsane-common	ii 	0.999-12.2
xserver-common	ii 	2:21.1.16-1.3+deb13u3
xserver-xorg	ii 	1:7.7+24+deb13u1
xserver-xorg-core	ii 	2:21.1.16-1.3+deb13u3
xserver-xorg-input-all	ii 	1:7.7+24+deb13u1
xserver-xorg-input-libinput	ii 	1.5.0-1
xserver-xorg-input-wacom	ii 	1.2.3-1
xserver-xorg-legacy	ii 	2:21.1.16-1.3+deb13u3
xserver-xorg-video-all	ii 	1:7.7+24+deb13u1
xserver-xorg-video-amdgpu	ii 	23.0.0-1
xserver-xorg-video-ati	ii 	1:22.0.0-1
xserver-xorg-video-fbdev	ii 	1:0.5.0-2
xserver-xorg-video-intel	ii 	2:2.99.917+git20210115-1
xserver-xorg-video-nouveau	ii 	1:1.0.18-1
xserver-xorg-video-qxl	ii 	0.1.6-1.1
xserver-xorg-video-radeon	ii 	1:22.0.0-1
xserver-xorg-video-vesa	ii 	1:2.6.0-2
xserver-xorg-video-vmware	ii 	1:13.4.0-1
xterm	ii 	398-1
xxkb	ii 	1.11.1-3
xz-utils	ii 	5.8.1-1+deb13u1
yelp	ii 	42.2-4+deb13u1
yelp-xsl	ii 	42.1-4
zenity	ii 	4.1.90-1
zenity-common	ii 	4.1.90-1
zip	ii 	3.0-15
zlib1g:amd64	ii 	1:1.3.dfsg+really1.3.1-1+b1
zlib1g:i386	ii 	1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev:amd64	ii 	1:1.3.dfsg+really1.3.1-1+b1
zstd	ii 	1.5.7+dfsg-1
